paper	seq	score	words	doctype	stem
2025年四川省公考《申论》题（行政执法卷）.pdf	3	25	500		三、假如你是华林坝街道办工作人员小谢，请根据“给定资料3”，就如何平衡好家和苑小区的文旅发展与居 民日常生活，提出工作建议。（25 分） 要求：(1)先梳理所有问题，再提出建议；(2)问题梳理全面准确，建议针对性强、切实可行；(3)不超过500字。
2025年四川省公考《申论》题（行政执法卷）.pdf	4	40	1000		四、“给定资料4”中的划线句子提到“中国法治的根基在人民，只有让法治在广大人民的心中落地生根，才能 实现全面依法治国”。请你深入思考这句话，参考“给定资料4”，联系实际，自选角度，自拟题目，撰写一篇 文章。（40 分） 要求：(1)观点明确，见解深刻；(2)思路清晰，语言流畅；(3)限800-1000字。 1000
2025年国家公考《申论》题（副省级）.pdf	1	15	350		一、“给定资料1”提到了三条“黄河”，请你谈谈这三条“黄河”分别指的是什么，并说明它们是如何协同发挥作 用的。（15 分） 要求：全面、准确、有条理。不超过350字。
2025年国家公考《申论》题（副省级）.pdf	2	10	300		二、请根据“给定资料2”，谈谈你对划线句子“只有慢慢发展，慢慢成熟，蓦然回首才会发现：不是产业，竟 是产业”的理解。（10 分） 要求：分析全面、准确、条理清晰。不超过300字。
2025年国家公考《申论》题（副省级）.pdf	3	20	400		三、今州粮仓计划在园区入口处设立宣传展板。请你根据“给定资料3”，为展板拟写一篇文稿，宣传介绍粮 仓的“前世今生”。（20 分） 要求：(1)紧扣资料，内容全面；(2)条理清晰，语言生动；(3)不超过400字。
2025年国家公考《申论》题（副省级）.pdf	4	20	400		四、如果你是青溪县数据局工作人员，请根据“给定资料4”，梳理青溪县数据标注企业发展中面临的问题， 并提出进一步推动该县数据标注产业发展的建议。（20 分） 要求：(1)问题梳理全面、准确、有条理；(2)所提建议有针对性、切实可行；(3)层次分明，有逻辑性；(4)不超过 400字。
2025年国家公考《申论》题（副省级）.pdf	5	35	1200		五、事物的劣势在特定条件下可以转化为优势，这种转化往往有赖于人的主观能动性，请你对此进行深入 思考，参考给定资料，联系实际，自选角度，自拟题目，写一篇文章。（35 分） 要求：(1)观点明确，见解深刻，内容充实；(2)参考“给定资料”，但不拘泥于“给定资料”；(3)思路清晰，语言流 畅；(4)字数1000-1200字。 1000 1100 1200
2025年国家公考《申论》题（地市级）（网友回忆版）.pdf	1	10	200		一、请根据“给定资料1”，谈谈宣化城市传统葡萄园的“生态实践智慧”体现在哪些方面。（10 分） 要求：全面、准确、有条理。不超过200字。
2025年国家公考《申论》题（地市级）（网友回忆版）.pdf	2	15	300		二、“给定资料2”介绍了虑远科技与新杭市埠西区政府合力治水的事例。请你谈谈在这一事例中，政府与企 业是如何通过良性互动实现成功治水的。（15 分） 要求：理解准确，内容全面，逻辑清晰。不超过300字。
2025年国家公考《申论》题（地市级）（网友回忆版）.pdf	3	20	450		三、假如你是“林票2.0”改革工作组成员，请根据“给定资料3”，梳理长青市林票制改革已取得的成效并提出 进一步深化改革的建议。（20 分） 要求：(1)紧扣资料，全面具体；(2)所提建议有针对性、切实可行；(3)层次分明，有逻辑性；(4)不超过450字。
2025年国家公考《申论》题（地市级）（网友回忆版）.pdf	4	20	500		四、假如你是S市政协委员，准备提交一份“关于助推‘元科普’，促进科普与科研共发展”的提案。请根据“给 定资料4”，拟写“提案案由”和“建议”两部分的内容。（20 分） 要求：理由充分，建议明确可行，条理清晰。不超过500字。
2025年国家公考《申论》题（地市级）（网友回忆版）.pdf	5	35	1200		五、给定资料反映了事物间的“互补”关系不是简单的拼合，而是互相作用、互相激发、互相促进的机制。请 你对此进行深入思考，联系实际，自选角度，自拟题目，写一篇文章。（35 分） 要求：(1)观点明确，见解深刻，内容充实；(2)参考给定资料，但不拘泥于给定资料；(3)思路清晰，语言流畅； (4)字数1000-1200字。 1000 1100 1200
2025年国家公考《申论》题（行政执法）（网友回忆版）.pdf	1	10	250		一、请根据“给定资料1”，概括A市积极促进高科技企业和新兴产业发展的主要做法。（10 分） 要求：全面、准确、有条理，不超过250字。
2025年国家公考《申论》题（行政执法）（网友回忆版）.pdf	2	15	250		二、“给定资料2”中提到“S市总工会工作的优化，真正实现了以职工需求推动服务的新格局”，请说明S市总 工会是如何实现这种新格局的。（15 分） 要求：理解准确，内容全面，逻辑清晰。不超过250字。
2025年国家公考《申论》题（行政执法）（网友回忆版）.pdf	3	20	500	指南	三、为使夜市管理工作更加规范，B市大帆夜市综合服务办公室计划编写一份“平安夜市安全巡查工作指 南”，供工作人员使用。根据“给定资料3”，请你草拟该指南中的工作事项及其相应工作内容。（20 分） 要求：(1)紧扣资料，内容全面；(2)工作事项明确，工作内容具体；(3)层次分明，条目清晰，语言简洁；(4)不超 过500字。
2025年国家公考《申论》题（行政执法）（网友回忆版）.pdf	4	20	450	提纲	四、“给定资料4”中的指导组完成现场指导后，拟向西瑞药业负责人当面谈话反馈。请你根据“给定资料4”， 拟写一份谈话内容提纲。（20 分） 要求：(1)成效和问题梳理全面、准确；(2)所提改进建议具体明确，切实可行；(3)语言简明，条理清晰；(4)不超 过450字。
2025年国家公考《申论》题（行政执法）（网友回忆版）.pdf	5	35	1200		五、请你对“给定资料5”中提到的“为群众办好事”“让群众感到好办事”“把群众的事办好”进行深入系统的思 考，联系实际，自拟题目，写一篇文章。（35 分） 要求：(1)观点明确，见解深刻，内容充实；(2)参考给定资料，但不拘泥于给定资料；(3)思想清晰、语言流畅； (4)1000-1200字。 1000 1100 1200
2026年国家公考《申论》题（副省级）.pdf	1	10	250		一、请根据“给定资料1”，谈一谈H市是如何管理“城市用光”的。（10 分） 要求：全面准确，有条理，不超过250字。
2026年国家公考《申论》题（副省级）.pdf	2	15	350	案例	二、请结合“给定资料2”中C市三家制造业企业的案例，对这类企业发展中该不该丢掉传统工艺的问题谈谈 你的看法，并加以说明。（15 分） 要求：紧扣资料，观点明确，分析全面，逻辑清晰。不超过350字。
2026年国家公考《申论》题（副省级）.pdf	3	20	450	短评	三、“给定资料3”是某报刊登的关于戈壁小镇岩崖镇转型发展的报道。请你以“暗夜星空下的别样繁华”为标 题，为该报撰写一则短评。（20 分） 要求：(1)观点明确，重点突出；(2)语言流畅，逻辑清晰；(3)不超过450字。
2026年国家公考《申论》题（副省级）.pdf	4	20	400		四、如果你是D县民政部门的工作人员，请梳理“给定资料4”中D县对家庭式养老机构的管理与机构自身运营 存在的问题，并就进一步推动其健康发展提出对策建议。（20 分） 要求：(1)问题梳理全面、准确、有条理；(2)对策有针对性、切实可行；(3)层次分明，逻辑清晰；(4)不超过400 字。
2026年国家公考《申论》题（副省级）.pdf	5	35	1200		五、“给定资料2”中提到：“运用合适的章法处理好不同因素之间的关系，是促进事物长远发展的关键。”请 你对这句话进行深入思考，参考给定资料，联系实际，自选角度，自拟题目，写一篇文章。（35 分） 要求：(1)观点明确，见解深刻；(2)参考给定资料，但不拘泥于给定资料；(3)思路清晰，语言流畅；(4)字数1000- 1200字。 1000 1100 1200
2026年国家公考《申论》题（地市级）（网友回忆版）.pdf	1	10	250		一、根据“给定资料1”，简要说明江化铁路物流中心是如何提供和优化铁路物流服务的。（10 分） 要求：全面、准确、有条理。不超过250字。
2026年国家公考《申论》题（地市级）（网友回忆版）.pdf	2	15	300		二、“给定资料2”提到，“莲语农业”的实践探索在经济效益、社会效益和生态效益取得了良好成效，请分别 谈谈这“三效”的具体体现。（15 分） 要求：归类准确，内容全面，条理清晰。不超过300字。
2026年国家公考《申论》题（地市级）（网友回忆版）.pdf	3	20	450		三、S市科委拟发布“2026年公众参与科学项目”，假如你是S市科委工作人员，请根据“给定资料3”，拟写一 份发布词，呼吁公众积极报名参加。（20 分） 要求：宗旨明确，介绍全面，有号召力。不超过450字。
2026年国家公考《申论》题（地市级）（网友回忆版）.pdf	4	20	450		四、假如你是G县“共享村落”试点项目专项调研组成员，请根据“给定资料4”，阐述“共享村落”试点项目推进 缓慢的原因，并提出下一步工作建议。（20 分） 要求：(1)原因阐述全面、准确、有条理；(2)所提建议有针对性、切实可行；(3)不超过450字。
2026年国家公考《申论》题（地市级）（网友回忆版）.pdf	5	35	1200		五、“给定资料5”中提到“多样性蕴含着创造力”，请你对此深入思考，参考给定资料，联系实际，自选角 度，自拟题目，写一篇文章。（35 分） 要求：(1)观点明确，见解深刻；(2)参考给定资料，但不拘泥于给定资料；(3)思路清晰，语言顺畅；(4)字数1000- 1200字。 1000 1100 1200
2026年国家公考《申论》题（行政执法）（网友回忆版）.pdf	1	15	300		一、请结合“给定资料1”中鲁师傅广合烧饼发展过程中的四个台阶，谈谈广合县市场监管部门的执法方式发 生了哪些变化。（15 分） 要求：全面、准确、有条理，不超过300字。
2026年国家公考《申论》题（行政执法）（网友回忆版）.pdf	2	10	250		二、“给定资料2”中毛所长说：“现在，我们已经可以从核心保护区撤离到林区边缘，把这片林海完完整整地 还给大山了。”请根据“给定资料2”，谈谈毛所长这句话的意思，以及他为什么这么说。（10 分） 要求：理解准确，内容全面，条理清晰。不超过250字。
2026年国家公考《申论》题（行政执法）（网友回忆版）.pdf	3	20	400	总结	三、D市市场监管局拟召开月度工作总结会。假如你是郭队长，请根据“给定资料3”，拟写一份关于三个案 例的执法情况汇报提纲。（20 分） 要求：(1)包括三个案例的基本情况、执法过程及处理结果；(2)要点全面，层次分明；(3)不超过400字。
2026年国家公考《申论》题（行政执法）（网友回忆版）.pdf	4	20	450		四、A省拟开展全省政务服务先进集体评选活动，B市准备推荐市政务云数据中心运维团队参选。请根据“给 定资料4”，拟写一份推荐材料。（20 分） 要求：(1)紧扣资料，内容全面；(2)结构完整，语言流畅；(3)不超过450字。
2026年国家公考《申论》题（行政执法）（网友回忆版）.pdf	5	35	1200		五、“给定资料5”中提到：“要获得真正的进步，不能只是一味往前跑，更关键的是要明确跑的目标。”请你 对这句话进行深入思考，针对行政执法工作，联系实际，自选角度，自拟题目，写一篇文章。（35 分） 要求：(1)观点明确，见解深刻；(2)参考给定资料，但不拘泥于给定资料；(3)思路清晰，语言流畅；(4)字数1000- 1200字。 1000 1100 1200
